Sample,AL,H,D,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
AL8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AL7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AL6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AL5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AL4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AL3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
H15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
H14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
H13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
H12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
H11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
H10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
H9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
D8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
D7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
D6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
D5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
D4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
D3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
D2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
