,AL8,AL7,AL6,AL5,AL4,AL3,AL2,AL1,H16,H15,H14,H13,H12,H11,H10,H9,D8,D7,D6,D5,D4,D3,D2,D1
GCKDGN101A03G2,3.86640934544415,3.89205472225005,3.77913900688151,3.22149301111205,4.03184266493655,4.09354104105438,4.18719815825807,4.62993026171656,3.90600723710385,3.92395776164655,3.77295710791457,3.90135831886043,3.74450516206703,4.89526884154619,4.26368093138669,3.22149301111205,3.22149301111205,3.68531453562669,3.93550824869226,3.63152751354532,3.22149301111205,3.67014697843614,3.22149301111205,4.28106545647051
GCKDGN101A03QL,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.7110584200172,4.05566462904974,3.61915489457968,3.22149301111205,3.22149301111205,3.70443301862239,3.22149301111205,3.22149301111205,3.22149301111205,4.30968738619298,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205
GCKDGN101A05NH,4.00816189743908,4.16164588249168,3.90238959164582,3.74178802907355,3.79821138268702,4.09354104105438,3.7110584200172,3.22149301111205,3.90600723710385,3.72063867900829,3.77295710791457,3.97989572179503,3.22149301111205,3.22149301111205,3.6956374369271,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.85348007581829,3.22149301111205,4.28106545647051
GCKDGN101A0DAU,4.00816189743908,4.16164588249168,4.31721495854605,4.30551505521248,4.03184266493655,4.43731601622962,4.29641725824483,4.62993026171656,4.55537785687612,3.83132249645571,3.99677525724245,4.11487274938875,4.36706447614043,4.05957397050329,3.6956374369271,4.72781427197438,4.19072744458848,3.87467124698974,3.7289269831976,3.63152751354532,3.74553931178744,4.10838943517356,3.90893022161401,4.14407218099411
GCKDGN101A0KM4,3.22149301111205,3.22149301111205,3.22149301111205,3.59038837138481,3.79821138268702,3.22149301111205,3.22149301111205,4.05566462904974,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.67014697843614,3.22149301111205,3.22149301111205
GCKDGN101A0QFE,3.22149301111205,3.22149301111205,3.22149301111205,3.59038837138481,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.77295710791457,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.97776854264673,3.68531453562669,3.22149301111205,3.22149301111205,4.25323017689415,3.22149301111205,4.10358608699494,3.22149301111205
GCKDGN101A0RX8,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.57531789003452,3.22149301111205,3.22149301111205,3.74450516206703,3.70985658255329,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205
GCKDGN101A0WK3,3.67939967150555,3.69776574670708,3.77913900688151,3.59038837138481,3.22149301111205,3.22149301111205,3.91060014710039,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.7289269831976,3.22149301111205,3.22149301111205,3.67014697843614,3.62087397451297,3.22149301111205
GCKDGN101A0YKC,3.22149301111205,3.22149301111205,3.90238959164582,3.85702931606931,3.22149301111205,3.22149301111205,3.7110584200172,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.56377647894821,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205
GCKDGN101A0ZJN,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.61915489457968,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.22149301111205,3.84130620606866,3.22149301111205,3.22149301111205,3.22149301111205,3.95864256593426,3.22149301111205,3.22149301111205,3.22149301111205
